Security deposit,
Select Batch No,
Select items to save the invoice,
Select or add new customer,
Self Consumption,
Self Consumption Customer,
Seller Commission,
Semi Finished,
Semi Furnished,
Serial no item cannot be a fraction,
Service Charge Amount,
Service Charge Currency,
Service Charge Frequency,
Service Type,
Set Name,
Shared Gym,
Shared Spa,
Shared pool,
Shelf No.,
Shif for security guards.,
Shift,نوبة العمل
Shift Date,
Shift Location,
Shift Name,
Signed agreement received,
Smoking,
Social status,
Sold,
South,
South-East,
South-West,
Spik n Span,
Staff,
Staff Type,
Stamp Duty Paid by Tenant,
Stamp Duty Status,
Stamp duty paid by tenant,
Start Date of Installment,
Status Active,نشط
Status active,
Stock Qty,
Storage Area,منطقة التخزين
Storage area,
Submit Maintenance Invoice,
Submitted orders can not be deleted,
Sync Master Data,
Sync Offline Invoices,
TOTAL,
Taken by,
Task Name,
Tax,
Team Leader Target,
Termination,
Testing,
The materials required has items and so the job card cannot be closed. Please confirm billing status fo the materials required.,
This is to show status of every lease by type of property,
Title deed number,
To Month,
Toggle Full Width,
Toggle Theme,
Tool Item,
Tool Item Number,
Tool Item Record,
Tool Item Set,
Tool Item Sets in custody.,
Total Amount Paid,
Total Facilities Price,
Total Facilties Price,
Total Number of Installment,
Total Price,السعر الإجمالي
Total Unit Price (Including Garage),
UNIT CHARACTERISTICS,
UNIT DETAILS,
UOM,
Unfinished,
Unfurnished,
Unit,الوحدة
Unit Assets,
Unit Data,
Unit Location,
Unit Meters,
Unit Number,رقم الوحدة
Unit Owner,
Unit Price,سعر الوحدة
Unit Price,سعر الوحدة
Unit Type,
Unit Type definition.,
Unit number,
Units Multiselect,
User Forum,
Vacating,إخلاء
Viva Security,
Viva Staff,
WTax paid by,
Waiting for Approval,
West,غرب
Withholding Tax Summary,
Witholding Tax,
Witness 1,الشاهد الأول
Witness 2,الشاهد الثاني
Work Done,تم إنجاز العمل
You are in offline mode. You will not be able to reload until you have network.,
ZIP Code,الرمز البريدي
attach,
from,
model No,
naming_series,
new repo,
price per meter,
price per month/day,
repo,
tarr,
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},
